a1_a,a1_b,a1_c,a2,a5_bdh,a5_byr,a5_bmfs1,a5_bmfs2,a5_mdh,a5_myr,a5_mmfs1,a5_mmfs2,a15,a17a_ths,a17b_ths,a17c_ths,a17d_ths,a17e_ths,a17f_ths,a17g_ths,b1_a,b1_b,b1_c,b2_a,b2_b,b2_c,b2_d,b2_e,b5_a,b5_b,b5_c,b5_d,b5_e,c1,c5,d1,d2,d4_recode1,d4_recode2,d4_recode3,d5_age,classid,tfa_teacher,mprid,schoolid,blockid,grade,treatment,bilingual,cscurr,dob,gender,race,hispanic,freelunch,absentdays,suspensions,suspdays,tstform,ge_r,ge_m,ss_r,ss_m,npr_r,npr_m,spanish,pretstform,prege_r,prege_m,press_r,press_m,prenpr_r,prenpr_m,prespanish
8,8,8,17,1,1995,1,,2,,,,1,,,2,1,1,1,,60,30,10,2,2,3,2,2,2,3,3,3,1,2,2,2,2,0,1,0,40,39,0,1096060,403,5,3,0,0,18,12/03/1993,M,Black,No,Yes,4,,,L,041,035,189,179,57,39,0,K,040,023,188,157,72,18,0
24,24,24,5,1,1979,1,,2,,,,1,3,2,3,2,2,2,,80,10,10,4,4,5,5,5,4,4,3,3,4,2,2,2,2,1,0,0,46,40,0,1096540,403,5,3,0,0,18,06/30/1994,M,Black,No,No,0,,,L,030,026,172,164,27,15,0,K,033,026,177,163,56,28,0
1,1,1,10,1,2001,40,9,2,,,,2,,,,,,,,80,10,10,2,3,3,3,3,2,3,3,2,1,2,2,2,2,0,1,0,24,42,1,1097010,403,5,3,1,0,18,03/04/1994,F,Black,No,Yes,1,,,L,017,027,148,166,3,18,0,K,013,019,137,151,1,11,0
6,6,6,20,1,1997,1,4,2,,,,1,2,2,,3,2,1,,90,3,7,5,4,5,5,3,4,4,4,3,2,2,2,2,2,1,0,0,46,43,0,1097350,403,5,3,0,0,18,03/03/1993,F,Black,No,Yes,3,,,L,030,029,171,170,25,23,0,K,026,024,165,159,33,21,0
3,3,3,23,1,2000,1,,2,,,,1,1,1,1,1,,2,,70,10,20,4,4,3,3,3,4,3,3,3,3,2,2,2,2,1,0,0,26,44,0,1098160,403,5,3,0,0,16,10/21/1993,F,Black,No,Yes,4,,,L,032,025,176,160,33,11,0,K,030,023,171,157,44,18,0
2,,,0,1,2001,22,,2,,,,2,3,3,2,1,2,2,,85,5,10,3,3,2,4,3,3,2,2,4,3,2,2,1,2,0,1,0,24,46,1,1098650,403,5,3,1,0,17,06/08/1994,F,Black,No,Yes,4,,,L,025,029,164,170,16,23,0,K,025,019,164,151,31,11,0
1,1,1,1,1,2002,12,,2,,,,1,,,,,,,,50,45,5,5,1,3,4,1,4,1,1,3,1,2,2,2,2,1,0,0,21,52,1,1097380,403,6,4,1,0,22,12/07/1992,F,Black,No,Yes,8,,,L,033,043,178,193,19,38,0,K,031,038,173,184,23,42,0
2,2,2,3,1,1999,23,16,2,,,,1,1,1,2,,2,2,,85,5,10,4,2,3,4,2,4,1,2,3,1,2,2,2,2,1,0,0,26,54,1,1098210,403,6,4,1,0,23,08/03/1991,M,Black,No,Yes,6,,,L,023, ,160,,4,,0,K,013,024,135,159,1,7,0
2,2,2,3,1,2001,4,,2,,,,1,3,2,3,2,3,3,,60,20,20,3,3,3,3,2,2,2,3,3,1,2,2,1,2,0,1,0,28,70,1,1109950,207,36,2,1,0,25,05/06/1995,M,Black,No,Yes,0,0,0,L,023,026,160,162,33,37,0,K,015,020,142,153,17,44,0
5,5,5,2,1,1993,19,8,2,,,,2,1,1,1,1,1,1,,85,10,5,4,4,4,3,2,3,2,2,2,2,2,2,2,2,1,0,0,32,71,0,1109980,207,36,2,0,0,24,07/11/1995,M,Black,No,Yes,2,0,0,L,014,012,139,137,3,3,0,K, K5, K7,123,129,1,3,0
37,37,1,1,1,1961,1,9,1,1972,10,,1,1,,,1,,1,,70,25,5,4,3,2,3,,4,3,2,3,,2,2,2,2,1,0,0,65,73,0,1110740,207,36,2,0,0,23,01/29/1995,M,Black,No,Yes,3,1,1,L,015,021,141,154,5,21,0,K,012, K0,134,113,6,1,0
2,2,2,1,1,2001,5,2,2,,,,1,1,2,2,1,2,2,3,75,15,10,3,3,2,2,2,3,3,2,2,2,2,2,2,1,0,0,1,24,89,1,1101530,617,15,4,1,1,31,05/12/1992,M,Asian/PI/Missing,Yes,Yes,,,,A, 6.7, 4.0,220,192,76,35,1,A, 3.5, 3.1,183,176,37,24,1
4,4,3,15,1,1998,1,,2,,,,1,1,1,1,,1,1,,80,15,5,3,3,4,4,2,3,3,4,4,1,1,2,2,1,0,0,1,29,90,0,1133760,617,15,4,0,1,29,01/01/1900,F,Asian/PI/Missing,Yes,Yes,,,,A,11.6,13.0,251,258,95,98,1,A,10.4,13.0,242,289,94,99,1
17,12,1,10,1,,26,30,2,,,,1,2,1,,1,1,,3,70,20,10,3,2,2,4,3,3,2,2,3,3,1,2,2,2,1,0,0,,92,0,1102200,617,16,5,0,0,28,01/15/1992,F,Black,No,Yes,,,,L,043,040,193,188,23,17,0,K,021,038,156,186,1,25,0
2,2,1,40,1,2000,29,,2,,,,1,3,,1,1,,,,90,5,5,4,4,3,2,2,4,3,2,2,2,2,2,2,2,0,1,0,28,112,0,1103410,508,11,3,0,0,20,04/13/1994,F,Asian/PI/Missing,Yes,Yes,5,,,L,019,037,152,182,5,44,0,K,026,023,165,157,33,18,0
3,3,3,25,1,1992,30,,1,2002,1,,1,,,,,,,1,94,3,3,3,3,4,3,2,2,2,2,3,2,2,2,1,2,0,0,1,33,113,1,1102960,508,11,3,1,0,21,11/07/1994,M,Asian/PI/Missing,Yes,Yes,18,,,L,035,054,180,207,40,84,0,K,032,038,175,185,52,74,0
2,2,2,0,1,2001,2,,1,2003,1,,1,2,2,2,2,2,2,,80,10,10,3,3,3,3,2,3,2,2,3,1,2,2,1,2,1,0,0,24,114,1,1102590,508,12,4,1,0,35,12/25/1992,M,Black,No,Yes,36,1,,L,031,038,173,186,14,27,0,K,022,029,158,170,7,19,0
4,4,4,30,1,1989,31,2,2,,,,1,3,3,,3,3,3,,70,10,20,4,3,3,3,2,4,2,3,3,2,2,2,1,2,1,0,0,39,115,0,1103240,508,12,4,0,0,37,06/27/1993,F,Asian/PI/Missing,Yes,Yes,7,0,0,L,035,048,180,200,21,50,0,K,023,043,161,192,9,55,0
6,2,4,4,1,1997,2,22,1,1999,28,,2,3,3,3,1,2,2,1,60,30,10,3,3,3,2,2,3,1,3,2,2,2,2,2,2,1,0,0,28,116,0,1102690,508,12,4,0,0,34,09/10/1992,M,Asian/PI/Missing,Yes,Yes,3,,,L,031,048,173,200,14,50,0,K,015,043,142,192,1,55,0
8,8,4,21,1,1991,27,2,2,,,,1,,2,2,,,1,,80,10,10,4,3,3,4,2,4,3,3,4,2,1,2,2,2,1,0,0,35,122,0,1104360,610,7,2,0,0,23,12/23/1994,F,White,No,Yes,0,,,L,023,015,161,144,35,7,0,K,017,015,148,144,29,23,0
1,1,1,1,1,2002,2,2,2,,,,2,1,,,,1,1,,40,60,10,3,5,4,4,3,2,3,4,4,3,2,2,2,2,0,1,0,24,125,1,1122300,207,37,3,1,0,24,01/01/1900,M,Black,No,Yes,2,0,0,L,022,028,158,168,10,20,0,K,018,016,150,146,10,6,0
6,6,1,15,1,1997,1,,2,,,,1,2,1,1,3,1,1,,85,10,5,4,3,2,3,2,4,3,3,3,2,2,2,2,2,1,0,0,31,127,0,1122850,207,37,3,0,0,23,01/01/1900,F,Black,No,Yes,5,0,0,L,027,026,167,164,20,15,0,K,016,022,144,155,5,15,0
1,1,1,20,1,2002,1,32,2,,,,1,,,,,1,,,85,5,10,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,0,0,25,137,0,1125750,302,1,2,0,0,21,09/28/1994,F,Black,No,Yes,0,,,L,018,020,150,152,15,18,0,K,013,019,137,151,9,39,0
1,1,1,10,1,1989,42,,1,1992,42,,2,,,,,,,,50,40,10,4,4,4,4,1,2,1,3,3,1,1,2,1,2,0,1,0,36,140,1,1126560,302,1,2,1,0,25,07/12/1995,M,Black,No,Yes,20,,,L,016,012,144,137,8,3,0,K, K7, K9,129,131,1,5,0
1,1,1,1,1,2002,22,33,2,,,,2,,,,,,,,85,5,10,3,2,4,3,2,2,2,3,2,1,2,2,1,2,0,1,0,23,142,1,1127000,302,4,5,1,0,25,05/17/1992,F,Black,No,Yes,1.5,,,L,046,034,197,178,28,9,0,K,033,023,178,157,16,1,0
1,1,1,10,1,2002,42,2,2,,,,2,1,1,1,1,1,1,1,60,20,20,3,3,3,3,3,4,4,4,4,4,2,2,2,2,1,0,0,23,143,0,1127230,302,4,5,0,,23,03/01/1992,F,Black,No,Yes,0,,,L,045,047,195,199,26,30,0,K,040,035,188,179,26,17,0
2,2,2,6,1,1999,34,,2,,,,2,,,,,1,,,76,12,12,3,3,2,3,2,3,3,3,3,2,2,2,2,2,1,0,0,27,152,0,1130710,513,19,3,0,0,23,01/01/1900,M,Black,,Yes,6,,,L,022,030,158,172,10,26,0,K,016,026,144,163,5,28,0
5,5,5,27,1,1998,35,24,2,,,,2,2,2,,1,2,,,60,30,10,5,4,4,4,,2,2,3,3,1,2,2,2,2,1,0,0,32,153,0,1131260,513,19,3,0,0,20,01/01/1900,M,Asian/PI/Missing,Yes,Yes,3,,,L,036,032,182,174,44,30,0,K,021,034,157,178,19,60,0
2,2,2,5,1,1997,5,,1,2001,22,,1,3,2,2,,1,,,80,10,10,4,4,3,4,4,4,3,3,3,2,1,2,2,2,0,0,1,29,158,1,1130540,513,20,4,1,0,35,01/01/1900,M,Asian/PI/Missing,Yes,Yes,22,,,L,016,025,146,161,1,4,0,K,018,026,150,164,3,12,0
2,2,2,10,1,2001,29,,2,,,,2,,,,,,,,80,15,5,2,2,3,2,3,4,2,3,2,2,2,2,1,1,0,0,1,30,159,0,1130040,513,20,4,0,0,34,01/01/1900,F,Asian/PI/Missing,Yes,Yes,1,,,L,039,027,187,167,30,8,0,K,027,020,166,152,14,3,0
2,2,2,10,1,1998,2,34,2,,,,1,2,1,2,1,2,3,,85,10,5,3,3,2,3,1,2,2,2,2,1,2,2,1,2,0,1,0,28,163,1,1129080,302,2,3,1,0,32,04/08/1994,F,Black,No,Yes,8,,,L,030,026,172,164,27,15,0,K,028,024,168,159,38,21,0
1,1,1,30,1,2003,1,22,2,,,,1,,,,,,,,80,10,10,4,3,3,4,1,3,3,3,3,1,2,2,2,2,0,1,0,23,164,0,1129210,302,2,3,0,0,30,07/29/1994,F,Asian/PI/Missing,,,,,,L,047,045,199,195,72,67,0,K,040,040,188,188,72,79,0
7,7,3,15,1,1992,1,34,2,,,,1,,,,1,1,1,,50,25,25,4,3,3,3,2,3,3,3,3,2,2,2,2,2,0,0,1,34,165,0,1133340,302,3,3,0,0,31,10/02/1993,F,Black,No,No,5,,,L,035,045,180,195,40,67,0,K,025,024,164,159,31,21,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,1,1132270,302,3,3,1,0,29,09/20/1993,F,Black,No,Yes,10,,,L,014,020,139,153,1,5,0,K,015,010,142,134,3,1,0
2,2,2,4,1,1996,4,,1,1998,1,,1,2,1,2,1,2,1,,70,20,10,4,4,3,3,3,2,3,3,2,2,2,2,2,2,0,1,0,29,167,1,1016640,101,21,2,1,0,24,10/03/1994,F,Black,No,,40,,,K,011,017,133,149,1,13,0,K,016, K1,144,120,21,1,0
5,5,1,25,1,1997,1,3,1,2001,11,,1,3,2,3,2,3,3,,75,15,10,5,4,4,4,3,3,2,2,3,2,2,2,2,2,1,0,0,27,168,0,1016780,101,21,2,0,0,24,01/30/1994,F,Black,No,,3,,,K,025,022,164,155,41,23,0,K,022,013,159,142,52,19,0
4,4,4,20,1,1998,6,3,1,2002,6,,2,,,,,,,,75,10,15,5,3,4,,4,3,2,2,2,1,2,2,2,2,,,,49,169,0,1017050,101,21,2,0,0,26,09/13/1994,M,Black,No,,3,,,K,026,025,165,161,43,34,0,K,021,017,156,149,46,34,0
6,6,4,30,1,1996,1,,,,,,1,3,2,2,2,3,2,,65,20,15,3,4,5,4,4,4,3,3,3,3,1,2,1,2,1,0,0,28,172,0,1011280,101,23,5,0,0,30,11/05/1990,F,Black,No,,5,,,L,044,029,194,170,24,4,0,K,024,021,162,154,4,1,0
2,2,2,15,1,1996,8,,1,2001,9,,2,3,3,1,,2,1,,50,20,30,5,3,3,3,3,2,3,2,2,1,2,2,2,2,1,0,0,28,173,1,1011440,101,23,5,1,0,31,01/05/1991,M,Black,No,,11,,,L,044,039,194,187,24,16,0,K,050,043,202,192,45,33,0
2,2,2,0,1,2000,2,1,1,2002,1,,2,1,1,1,,1,2,,80,10,10,5,3,2,2,1,3,3,2,2,2,1,2,1,2,0,1,0,25,177,1,1015650,105,34,3,1,0,36,01/21/1993,M,Black,No,,0,,,L,039,027,187,167,53,19,0,K,033,026,178,164,57,30,0
1,1,1,10,1,,,,2,,,,2,,,,,,,,60,20,20,3,2,3,2,2,3,2,2,2,1,1,2,2,2,1,0,0,32,178,0,1016010,105,34,3,0,0,35,08/22/1993,F,Black,No,,16,,,L,022,033,158,175,10,32,0,K,016, ,144,,5,,0
29,29,,3,1,1971,1,,1,,3,,1,3,,,,,2,,80,10,10,3,5,4,3,3,5,5,3,4,4,1,2,2,2,1,0,0,55,180,0,1016560,105,34,3,0,0,31,01/08/1992,M,Black,No,,10,,,L,021,020,155,152,7,4,0,K,017,020,147,152,7,12,0
3,3,3,5,1,1999,12,,1,2001,1,,1,2,2,2,1,2,1,,80,15,5,4,4,4,3,4,3,2,3,3,1,2,1,2,2,0,1,0,25,181,1,1011670,111,28,4,1,0,30,09/29/1992,M,White,No,,19,,,L,051,062,205,218,57,75,0,K,050,048,202,200,68,69,0
6,6,1,30,1,1992,11,2,1,2000,1,5,1,3,2,1,1,2,1,,80,10,10,4,4,3,3,2,2,2,3,3,1,2,2,2,2,0,1,0,35,182,0,1011900,111,28,4,0,0,29,09/14/1991,M,White,No,,20,,,L,046,028,197,169,45,9,0,K,046,031,197,173,61,23,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1000960,309,26,4,1,0,20,01/05/1993,M,Black,No,Yes,15,,,L,036,028,182,169,24,9,0,K,031,026,173,164,23,12,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001050,309,26,4,1,0,20,01/27/1992,F,Black,No,,11,,,L,027,024,167,159,8,3,0,K,027,027,166,167,14,15,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001770,309,26,4,1,0,20,10/05/1992,F,Black,No,,11.5,2,3,L,041,033,190,175,34,15,0,K,041,033,190,176,50,28,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001470,309,26,4,1,0,20,05/21/1993,F,Black,No,Yes,0,,,L,035,034,180,177,21,17,0,K,031,029,173,170,23,19,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001380,309,26,4,1,0,20,11/03/1992,M,Black,No,,0,,,L,037,043,184,193,26,38,0,K,035,036,180,181,34,37,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001400,309,26,4,1,0,20,02/22/1993,F,Black,No,Yes,7,,,L,031,034,173,177,14,17,0,K,032,031,175,173,26,23,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001300,309,26,4,1,0,20,11/16/1992,M,Black,No,Yes,0,,,L,043,043,193,193,39,38,0,K,032,043,175,192,26,55,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1127990,309,26,4,1,0,20,01/01/1900,M,Black,No,Yes,3,,,L,017,020,149,152,1,1,0,K,027,017,166,149,14,2,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1127980,309,26,4,1,0,20,05/16/1993,F,Black,No,Yes,20.5,,,L,031,038,173,186,14,27,0,K,028,033,168,176,16,28,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001730,309,26,4,1,0,20,10/29/1992,F,Black,No,,5,,,L,023,037,160,183,4,24,0,K,025,027,164,167,12,15,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001390,309,26,4,1,0,20,10/10/1992,F,Black,No,,5,1,2,L,055,071,210,229,65,86,0,K,045,054,196,208,60,79,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001100,309,26,4,1,0,20,08/28/1993,F,Black,No,Yes,8,3,4,L,041,037,190,183,34,24,0,K,028,031,168,173,16,23,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1127870,309,26,4,1,0,20,07/04/1992,M,Black,No,Yes,5,1,1,L,048,028,200,169,50,9,0,K,035,024,180,159,34,7,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001420,309,26,4,1,0,20,10/30/1992,M,Black,No,,9,1,1,L,043,036,193,180,39,20,0,K,032,024,175,159,26,7,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001460,309,26,4,1,0,20,04/20/1993,M,Black,No,,15,2,4,L,022,027,158,167,3,8,0,K,013,023,135,157,1,6,0
2,2,2,0,1,2001,34,31,2,,,,1,,,2,,2,2,,60,30,10,4,3,4,4,2,3,2,3,3,2,1,2,2,2,1,0,0,24,1,1,1001490,309,26,4,1,0,20,10/25/1992,F,Black,No,Yes,5,,,L,037,053,184,206,26,60,0,K,033,033,178,176,30,28,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1127880,309,26,4,0,0,19,05/02/1992,M,Asian/PI/Missing,,,,,,L,055,048,210,200,65,50,0,K,036,038,182,184,37,42,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001320,309,26,4,0,0,19,08/10/1993,M,Black,No,Yes,2,,,L,032,043,175,193,16,38,0,K,031,033,173,176,23,28,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001540,309,26,4,0,0,19,11/17/1992,F,Black,No,Yes,6,,,L,033,030,178,172,19,12,0,K,038,034,185,178,43,32,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1127890,309,26,4,0,0,19,08/23/1991,M,Black,No,Yes,19,,,L,029,033,169,175,10,15,0,K,035,033,180,176,34,28,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001130,309,26,4,0,0,19,05/30/1992,M,Black,No,Yes,6,,,L,037,041,184,189,26,32,0,K,035,029,180,170,34,19,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001550,309,26,4,0,0,19,06/14/1993,F,Black,No,Yes,13,,,L,036,038,182,186,24,27,0,K,035,034,180,178,34,32,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001570,309,26,4,0,0,19,10/23/1992,M,Black,No,Yes,12,,,L,033,036,177,180,18,20,0,K,031,031,173,173,23,23,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001250,309,26,4,0,0,19,09/29/1992,M,Black,No,Yes,3,,,L,031,027,173,167,14,8,0,K,027,031,166,173,14,23,0
19,6,13,2,1,1975,2,,2,,,,1,3,2,2,2,3,1,,90,5,5,5,4,4,3,3,4,4,4,4,4,1,2,2,2,1,0,0,55,2,0,1001600,309,26,4,0,0,19,09/01/1993,M,Black,No,Yes,16,,,L,031,038,173,186,14,27,0,K,036,038,182,184,37,42,0
